player_name,year,rounds,measured_rounds,avg_off_tee,avg_approach,avg_around,avg_putting
Tiger Woods,2004,78,54,0.321,0.873,0.335,0.853
Adam Scott,2004,55,40,0.18,0.571,-0.147,0.824
Stewart Cink,2004,103,79,-0.143,0.724,0.391,0.683
Greg Chalmers,2004,70,65,-0.441,-0.35,0.038,0.651
Shigeki Maruyama,2004,93,78,-0.198,0.493,0.122,0.63
Loren Roberts,2004,81,68,-0.351,0.277,0.257,0.629
Aaron Baddeley,2004,87,76,-0.53,-0.679,0.201,0.579
Zach Johnson,2004,109,89,0.567,0.128,-0.066,0.577
Brad Faxon,2004,94,70,-0.476,0.251,0.226,0.535
Freddie Jacobson,2004,83,63,-0.191,0.209,-0.014,0.531
Jesper Parnevik,2004,86,74,0.27,-0.209,0.233,0.522
Steve Stricker,2004,81,69,-1.036,0.002,0.353,0.521
Brent Geiberger,2004,94,84,-0.067,-0.214,0.104,0.512
José María Olazábal,2004,56,42,-1.08,0.474,0.44,0.483
Darren Clarke,2004,54,35,0.626,-0.033,-0.352,0.467
Richard Johnson,2004,102,93,-0.304,-0.028,-0.167,0.461
Bob Tway,2004,90,66,-0.289,0.269,-0.057,0.443
Patrick Sheehan,2004,113,100,-0.105,0.096,-0.244,0.439
Stephen Ames,2004,97,80,0.218,0.712,-0.078,0.438
Len Mattiace,2004,75,70,-0.306,-0.611,0.216,0.411
Matt Gogel,2004,86,70,-0.007,-0.05,0,0.404
Mark O'Meara,2004,58,41,-0.425,-0.369,0.087,0.369
Brian Bateman,2004,84,73,0.234,-0.302,-0.206,0.364
Brian Gay,2004,96,88,-0.425,0.23,0.342,0.361
Ben Crane,2004,92,81,-0.132,-0.256,0.139,0.357
Tommy Tolles,2004,67,61,-0.414,-0.12,-0.21,0.351
Bo Van Pelt,2004,107,82,0.512,0.194,0.094,0.346
Tag Ridings,2004,53,45,0.148,-0.209,-0.142,0.329
David Peoples,2004,82,75,-0.245,0.225,0.205,0.328
Brenden Pappas,2004,111,99,-0.317,-0.154,0.038,0.322
Mark Hensby,2004,97,82,0.232,-0.072,0.122,0.32
Tom Byrum,2004,83,72,-0.043,0.174,0.13,0.318
Tim Petrovic,2004,111,87,-0.018,-0.146,0.26,0.315
Corey Pavin,2004,83,67,-0.392,0.063,0.535,0.31
Dan Forsman,2004,79,66,-0.304,-0.653,0.291,0.293
David Frost,2004,78,75,-0.591,-0.39,0.321,0.292
Hunter Mahan,2004,94,83,0.187,-0.198,-0.181,0.28
Harrison Frazar,2004,86,71,0.273,-0.064,0.002,0.277
Nick Price,2004,51,36,-0.301,0.182,0.357,0.275
Frank Lickliter II,2004,89,78,0.328,0.191,-0.163,0.271
Mike Weir,2004,75,55,-0.029,0.351,0.19,0.271
Dean Wilson,2004,99,91,-0.282,-0.341,0.145,0.271
Scott McCarron,2004,88,75,0.047,0.081,-0.13,0.269
Geoff Ogilvy,2004,91,76,0.305,0.008,0.064,0.264
Jerry Kelly,2004,113,88,0.081,0.616,0.25,0.255
Tom Carter,2004,113,96,0.021,-0.76,0.059,0.254
Jonathan Byrd,2004,85,73,0.109,-0.347,0.364,0.252
Glen Day,2004,101,88,0.028,-0.072,0.256,0.252
Carl Pettersson,2004,100,79,0.098,-0.04,0.179,0.247
Todd Hamilton,2004,92,70,-0.199,0.093,0.093,0.233
David Morland IV,2004,73,62,-0.345,-0.512,0.015,0.23
Stephen Leaney,2004,84,57,-0.13,0.032,0.011,0.228
José Coceres,2004,68,61,0.113,0.022,0.085,0.222
Retief Goosen,2004,56,40,0.379,0.604,0.213,0.222
Duffy Waldorf,2004,79,59,0.157,0.568,-0.114,0.221
Skip Kendall,2004,99,80,-0.001,-0.111,0.028,0.22
Scott Verplank,2004,92,68,0.319,0.971,-0.016,0.216
Michael Allen,2004,87,77,-0.393,0.16,-0.037,0.208
Brett Quigley,2004,102,88,0.014,0.058,0.125,0.205
Danny Ellis,2004,81,69,0.055,-0.299,-0.102,0.204
Luke Donald,2004,72,62,0.044,0.563,0.271,0.199
Rory Sabbatini,2004,89,74,0.321,0.322,0.317,0.193
Paul Azinger,2004,75,65,-0.403,-0.353,0.233,0.185
Scott Simpson,2004,55,51,-0.234,-0.423,0.046,0.185
Brian Kortan,2004,65,57,0.131,-0.815,0.026,0.183
Davis Love III,2004,85,61,0.491,0.232,0.156,0.181
Steve Flesch,2004,109,82,-0.066,0.24,0.121,0.18
Joe Ogilvie,2004,104,85,0.15,-0.068,0.051,0.177
Hidemichi Tanaka,2004,89,78,0.113,0.003,-0.176,0.165
Dan Olsen,2004,75,65,-0.427,-0.424,-0.287,0.163
Mike Heinen,2004,53,51,0.079,-0.284,-0.299,0.16
John Rollins,2004,90,72,0.183,-0.053,-0.187,0.159
Todd Fischer,2004,104,92,-0.275,0.115,0.113,0.158
Daniel Chopra,2004,108,92,0.097,-0.046,-0.006,0.15
Dennis Paulson,2004,71,66,0.404,-0.053,0.077,0.15
Bob Burns,2004,88,78,-0.252,-0.244,0.012,0.145
Billy Andrade,2004,104,92,-0.338,0.291,0.034,0.142
Ernie Els,2004,62,41,0.622,0.709,0.445,0.124
Chris Riley,2004,78,53,-0.235,0.192,0.297,0.122
Chris DiMarco,2004,105,77,0.134,0.508,0.299,0.121
Tim Herron,2004,84,66,0.225,0.212,0.182,0.12
Craig Parry,2004,52,37,-0.133,-0.037,0.345,0.113
Shaun Micheel,2004,93,70,0.017,-0.008,0.064,0.109
Stuart Appleby,2004,84,59,0.538,0.066,0.263,0.107
Olin Browne,2004,92,79,0.054,0.112,-0.202,0.106
Jay Delsing,2004,76,64,-0.219,-0.169,-0.159,0.106
Pat Bates,2004,99,90,-0.183,-0.192,0.083,0.1
John Daly,2004,79,67,0.477,0.042,0.19,0.095
Kirk Triplett,2004,88,66,0.192,0.292,0.249,0.072
J.J. Henry,2004,103,91,0.574,-0.045,-0.071,0.063
Craig Bowden,2004,83,75,-0.095,-0.149,0.07,0.061
Fred Funk,2004,97,83,0.121,0.456,-0.011,0.051
Danny Briggs,2004,85,75,0.043,0.298,-0.186,0.042
Tom Pernice Jr.,2004,103,86,0.096,0.222,0.005,0.04
Tim Clark,2004,84,71,0.184,0.691,-0.099,0.038
K.J. Choi,2004,83,63,0.009,0.338,0.02,0.033
Matt Kuchar,2004,83,77,0.059,-0.282,0.091,0.029
Russ Cochran,2004,61,55,-0.051,0.104,-0.172,0.028
Jay Haas,2004,84,61,-0.134,0.862,0.506,0.027
Kent Jones,2004,99,87,0.047,0.247,-0.116,0.026
Hank Kuehne,2004,91,84,0.181,-0.304,0.03,0.024
Deane Pappas,2004,72,64,-0.083,-0.32,0.093,0.021
Cameron Beckman,2004,99,87,0.029,0.364,-0.026,0.018
Rod Pampling,2004,98,78,0.183,0.014,0.223,0.018
Charles Howell III,2004,104,76,0.428,0.018,0.095,0.002
Alex Cejka,2004,76,57,0.119,0.255,0.02,-0.006
J.P. Hayes,2004,79,64,-0.162,-0.14,-0.026,-0.016
Neal Lancaster,2004,106,93,0.118,0.133,-0.049,-0.016
Dudley Hart,2004,60,46,0.064,0.557,-0.051,-0.021
Cliff Kresge,2004,89,75,-0.312,-0.169,-0.052,-0.022
Bart Bryant,2004,73,65,0.226,0.484,-0.1,-0.03
Arjun Atwal,2004,85,75,0.013,-0.097,-0.116,-0.034
Kevin Sutherland,2004,86,67,0.241,-0.137,0.315,-0.045
John Cook,2004,57,48,-0.373,0.175,0.127,-0.047
Ken Duke,2004,89,80,-0.404,-0.488,-0.134,-0.051
